12442          	42" 24GA STDG DRIVE 50 PCS/CTN
12448          	48" 24GA STDG DRIVE 50 PCS/CTN
12454          	54" 24GA STDG DRIVE 50 PCS/CTN
12460          	60" 24GA STDG DRIVE 50 PCS/CTN
12GW           	12GA GALV WELDED FITTINGS     
12SPC          	1/2" SEALS                    
1326           	5/8" START COLLAR 26GA    100'
135.906        	GALV 13GA X 5.906" X COIL     
142.875        	GALV 14GA X 2.875" X COIL     
1424           	1" START COLLAR 24GA      100'
145.906        	GALV 14GA X 5.906" X COIL     
14GW           	14GA GALV WELDED FITTINGS     
14SW           	14GA ST STL WELDED FITTINGS   
161.000        	GALV 16GA X 1.000" X COIL     
162.812        	GALV 16GA X 2.812" X COIL     
163.437        	GALV 16GA X 3.437" X COIL     
1648.000       	GALV 16GA X 48.000" X COIL    
165.625        	GALV 16GA X 5.625" X COIL     
165.906        	GAVL 16GA X 5.906" X COIL     
1660.000       	GALV 16GA X 60.000" X COIL    
16AW           	.090 ALUMINUM WELDED FITTINGS 
16BI           	16GA BLACK IRON WELDED FTGS   
16FD           	16GA MATERIAL/FIRE DAMP SLEEVE
16G9W          	16GA G-90 WELDED FITTINGS     
16GF           	16GA GALV FITTINGS FULL ASMBL 
16GK           	16GA GALVANIZED FITTINGS K/D  
16GW           	16GA GALV WELDED FITTINGS     
16MD           	16GA MATERIAL FOR DAMPER      
16PGW          	16GA PAINT GRIP WELDED FTGS   
16S6W          	16GA 316 ST STL WELDED FTGS   
16SSF          	16GA STAINLESS STL FOR FITTING
16SW           	16GA ST STL WELDED FITTINGS   
181.000        	GALV 18GA X 1.000" X COIL     
1812R          	18/12 REDUCER BLANK 26.65"RD  
185.500        	GALV 18GA X 5.500" X COIL     
1860.000       	GALV 18GA X 60.000" X COIL    
1872.000       	GALV 18GA X 72.000" X COIL    
18AF           	.080 ALUM FITTINGS FULL ASMBL 
18AK           	.080 ALUMINUM FITTINGS K/D    
18AW           	.080 ALUMINUM WELDED FITTINGS 
18BI           	18GA BLACK IRON WELDED FTGS   
18BIF          	18GA BLACK IRON FOR FITTINGS  
18DW1          	18GA GALV 1"DBLWALL FITTINGS  
18DW2          	18GA GALV 2"DBLWALL FITTINGS  
18FD           	18GA MATERIAL/FIRE DAMP SLEEVE
18G9F          	18GA G-90 FITTINGS FULL ASMBL 
18G9K          	18GA G-90 FITTINGS K/D        
18G9W          	18GA G-90 WELDED FITTINGS     
18GF           	18GA GALV FITTINGS FULL ASMBL 
18GK           	18GA GALVANIZED FITTINGS K/D  
18GW           	18GA GALV WELDED FITTINGS     
18MD           	18GA MATERIAL FOR DAMPERS GALV
18PGF          	18GA PAINT GRIP FTG FULL ASMBL
18PGK          	18GA PAINT GRIP FITTINGS K/D  
18PGW          	18GA PAINT GRIP WELDED FTGS   
18PV4F         	18GA 4X4 PVS FTGS FULL ASMBL  
18PV4K         	18GA 4X4 PVS FITTINGS K/D     
18PVF          	18GA PVS FITTINGS FULL ASMBL  
18PVK          	18GA PVS FITTINGS K/D         
18S6F          	18GA 316 ST STL FTG FULL ASMBL
18S6K          	18GA 316 ST STL FITTINGS K/D  
18S6W          	18GA 316 ST STL WELDED FTGS   
18SF           	18GA ST STL FTGS FULL ASMBL   
18SK           	18GA ST STL FITTINGS K/D      
18SW           	18GA ST STL WELDED FITTINGS   
18TMF          	18GA TDC FITTINGS TACK ASSEMB.
1AL            	1" STANDING DRIVE.032 10' ALUM
1CD            	1" REINFORCING CONDUIT 10'    
1PG            	24GA PAINT GRIP STD DRIVE  10'
1PVS           	24GA STD. DRIVE CONN.  10' PVS
1SS            	1" 304 SS STDG DRIVE .018  10'
202.125        	GALV 20GA X 2.125" X COIL     
2048.000       	GALV 20GA X 48.000" X COIL    
205.394        	GALV 20GA X 5.394" X COIL     
206.187        	GALV 20GA X 6.187" X COIL     
206.750        	GALV 20GA X 6.750" X COIL     
2060.000       	GALV 20GA X 60.000" X COIL    
2072.000       	GALV 20GA X 72.000" X COIL    
20AF           	.063 ALUM FITTINGS FULL ASMBL 
20AK           	.063 ALUMINUM FITTINGS K/D    
20AW           	.063 ALUMINUM WELDED FITTINGS 
20BI           	20GA BLACK IRON WELDED FTGS   
20BIF          	20GA BLACK IRON FOR FITTINGS  
20DW1          	20GA GALV 1"DBLWALL FITTINGS  
20DW2          	20GA GALV 2"DBLWALL FITTINGS  
20G9F          	20GA G-90 FITTINGS FULL ASMBL 
20G9K          	20GA G-90 FITTINGS K/D        
20G9W          	20GA G-90 WELDED FITTINGS     
20GF           	20GA GALV FITTINGS FULL ASMBL 
20GK           	20GA GALVANIZED FITTINGS K/D  
20GW           	20GA GALV WELDED FITTINGS     
20MF           	20GA S&D FITTINGS TACK ASSEMB.
20PGF          	20GA PAINT GRIP FTG FULL ASMBL
20PGK          	20GA PAINT GRIP FITTINGS K/D  
20PGW          	20GA PAINT GRIP WELDED FTGS   
20PV4F         	20GA 4X4 PVS FTGS FULL ASMBL  
20PV4K         	20GA 4X4 PVS FITTINGS K/D     
20PVF          	20GA PVS FITTINGS FULL ASMBL  
20PVK          	20GA PVS FITTINGS K/D         
20S6F          	20GA 316 ST STL FTG FULL ASMBL
20S6K          	20GA 316 ST STL FITTINGS K/D  
20S6W          	20GA 316 ST STL WELDED FTGS   
20SF           	20GA ST STL FTGS FULL ASMBL   
20SK           	20GA ST STL FITTINGS K/D      
20SW           	20GA ST STL WELDED FITTINGS   
20TMF          	20GA TDC FITTINGS TACK ASSEMB.
21010          	2"X10' 10GA GALV STRIPS       
222.125        	GALV 22GA X 2.125" X COIL     
223.625        	GALV 22GA X 3.625" X COIL     
224.032        	GALV 22GA X 4.032" X COIL     
224.437        	GALV 22GA X 4.437" X COIL     
