412260.000	PVS 22GA X 60.000" X COIL	
41245.394	PVS 24GA X 5.394" X COIL	
412460.000	PVS 24GA X 60.000" X COIL	
41265.394	PVS 26GA X 5.394" X COIL	
424	4" TURN VANE 24GA          50'	
424A	4"TURNING VANE INSTALLED	
44165.625	PVS 4X4 16GA X 5.625" X COIL	
441848.000	PVS 4X4 18GA X 48.000" X COIL	
44185.500	PVS 4X4 18GA X 5.500" X COIL	
441860.000	PVS 4X4 18GA X 60.000" X COIL	
442048.000	PVS 4X4 20GA X 48.000" X COIL	
44205.394	PVS 4X4 20GA X 5.394" X COIL	
442060.000	PVS 4X4 20GA X 60.000" X COIL	
442248.000	PVS 4X4 22GA X 48.000" X COIL	
44225.394	PVS 4X4 22GA X 5.394" X COIL	
442260.000	PVS 4X4 22GA X 60.000" X COIL	
44242.125	PVS 4X4 24GA X 2.125" X COIL	
44243.625	PVS 4X4 24GA X 3.625" X COIL	
44244.032	PVS 4X4 24GA X 4.032" X COIL	
442448.000	PVS 4X4 24GA X 48.000" X COIL	
44245.394	PVS 4X4 24GA X 5.394" X COIL	
44246.187	PVS 4X4 24GA X 6.187" X COIL	
442460.000	PVS 4X4 24GA X 60.000" X COIL	
4AC	4" ACOUSTICAL VANE 24GA    50'	
4ACA	4" ACOUSTICAL VANE INSTALLED	
4ACAL	4"ACOUSTICAL VANE.032 10' ALUM	
4AL	4" TURNING VANE .032  10' ALUM	
4ALA	4" TURNING VANE INSTALLED ALUM	
4ALA	4" TURNING VANE INSTALLED ALUM	
4ALCTL	4" VANE CUT FOR FITTINGS ALUM	
4SS	4" 304 SS TURNING VANE.024 10'	
4SSA	4" TURNING VANE INSTALLED STLS	
4SSCTL	4" VANE CUT FOR FITTINGS STLS	
4SSCTL	4" VANE CUT FOR FITTINGS STLS	
5000	4" EZ RAIL II SINGLEWALL  100'	
5000A	4"SINGLEWALL RAIL INSTALLED	
5000CTL	E Z RAIL II FOR FITTINGS	
5000CTL	E Z RAIL II FOR FITTINGS	
522	4" EZ RAIL 22GA           100'	
522A	4"VANE RAIL INSTALLED	
522CTL	4" RAIL CUT FOR FITTINGS	
5AL	4" E-Z RAIL .032      10' ALUM	
5ALA	4" VANE RAIL INSTALLED ALUM	
5ALA	4" VANE RAIL INSTALLED ALUM	
5ALCTL	4" CUT FOR FITTINGS ALUM	
5ALCTL	4" CUT FOR FITTINGS ALUM	
5CD	1/2" REINFORCING CONDUIT 10'	
5SS	4" 304 SS E-Z RAIL .024    10'	
5SSA	4" VANE RAIL INSTALLED STLS	
5SSCTL	4" RAIL CUT FOR FITTINGS STLS	
5SSCTL	4" RAIL CUT FOR FITTINGS STLS	
5SSCTL	4" RAIL CUT FOR FITTINGS STLS	
60424	04" 24GA FLAT DRIVE 150 PC/CTN	
604241	1" FLAT DRIVE 24GA CTL 4" GALV	
60426	04" 26GA FLAT DRIVE 150 PC/CTN	
60524	05" 24GA FLAT DRIVE 150 PC/CTN	
605241	1" FLAT DRIVE 24GA CTL 5" GALV	
60624	06" 24GA FLAT DRIVE 150 PC/CTN	
606241	1" FLAT DRIVE 24GA CTL 6" GALV	
60626	06" 26GA FLAT DRIVE 150 PC/CTN	
60626R	06" 26GA FLAT DRIVE ROUND TAB	
60724	07" 24GA FLAT DRIVE 150 PC/CTN	
607241	1" FLAT DRIVE 24GA CTL 7" GALV	
60824	08" 24GA FLAT DRIVE 150 PC/CTN	
608241	1" FLAT DRIVE 24GA CTL 8" GALV	
60824R	08" 24GA FLAT DRIVE  ROUND TAB	
